Detectado,Acuracia
car, 0.9930
person, 0.9900
person, 0.9834
person, 0.9800
person, 0.9752
person, 0.9028
handbag, 0.8073
bus, 0.7958
car, 0.7877
person, 0.7646
car, 0.9930
person, 0.9904
person, 0.9833
person, 0.9803
person, 0.9739
person, 0.9034
handbag, 0.8076
bus, 0.7979
car, 0.7896
person, 0.7596
car, 0.9908
person, 0.9869
person, 0.9823
person, 0.9811
person, 0.9779
person, 0.8976
bus, 0.8181
person, 0.8120
car, 0.7917
handbag, 0.7642
car, 0.9936
person, 0.9881
person, 0.9810
person, 0.9750
person, 0.9578
person, 0.9034
person, 0.8266
bus, 0.8235
car, 0.7829
handbag, 0.7814
car, 0.9940
person, 0.9856
person, 0.9854
person, 0.9798
person, 0.9770
person, 0.9004
person, 0.8348
bus, 0.8102
car, 0.7706
handbag, 0.7599
handbag, 0.5695
car, 0.9913
person, 0.9865
person, 0.9863
person, 0.9768
person, 0.9464
person, 0.8995
person, 0.8602
bus, 0.7956
car, 0.7445
handbag, 0.7221
handbag, 0.5593
car, 0.9948
person, 0.9886
person, 0.9883
person, 0.9798
person, 0.9356
person, 0.8988
person, 0.8807
bus, 0.8235
handbag, 0.7762
car, 0.7640
handbag, 0.5926
car, 0.9944
person, 0.9882
person, 0.9826
person, 0.9822
person, 0.9726
person, 0.9002
person, 0.8364
car, 0.7970
handbag, 0.7899
bus, 0.7885
car, 0.9948
person, 0.9821
person, 0.9819
person, 0.9778
person, 0.9579
person, 0.9027
person, 0.8277
car, 0.8025
bus, 0.7849
handbag, 0.7697
car, 0.9950
person, 0.9835
person, 0.9790
person, 0.9749
person, 0.9550
person, 0.9064
person, 0.8162
handbag, 0.8101
bus, 0.8052
car, 0.7835
person, 0.5151
car, 0.9919
person, 0.9824
person, 0.9765
person, 0.9654
person, 0.9560
person, 0.9099
person, 0.8325
bus, 0.7865
car, 0.7758
handbag, 0.7637
person, 0.5781
car, 0.9922
person, 0.9814
person, 0.9736
person, 0.9536
person, 0.9110
person, 0.8848
person, 0.8266
bus, 0.8062
handbag, 0.7806
car, 0.7461
handbag, 0.6134
person, 0.5875
car, 0.9918
person, 0.9870
person, 0.9823
person, 0.9637
person, 0.9088
person, 0.8420
bus, 0.8190
car, 0.7618
handbag, 0.7042
person, 0.5317
person, 0.5229
person, 0.9907
car, 0.9863
person, 0.9808
person, 0.9733
person, 0.9069
bus, 0.8345
person, 0.8186
car, 0.7475
handbag, 0.6461
person, 0.5810
handbag, 0.5386
person, 0.5317
person, 0.9920
car, 0.9870
person, 0.9834
person, 0.9799
person, 0.9004
bus, 0.8396
person, 0.8348
person, 0.7523
car, 0.7197
handbag, 0.6864
